Topology,Samples,X local MAE,X all MAE_r,Y local MAE,Y all MAE_r,iSWAP local MAE,iSWAP all MAE_r
3x4,100,0.046986985951662064,0.5307132601737976,0.04754352569580078,0.549735426902771,0.15724362432956696,0.3918476998806
3x5,60,0.040476471185684204,0.48846977949142456,0.03940984606742859,0.49393516778945923,0.13612520694732666,0.46372875571250916
4x4,60,0.04622402787208557,0.4620887339115143,0.04522974416613579,0.4908851385116577,0.14565588533878326,0.3345576822757721
3x6,60,0.037353210151195526,0.43328002095222473,0.03647443279623985,0.5182401537895203,0.12992005050182343,0.35747429728507996
4x5,60,0.04182099923491478,0.43246763944625854,0.04074622690677643,0.4489402174949646,0.15455672144889832,0.3288809061050415
4x6,24,0.03946346789598465,0.3187851905822754,0.03818163648247719,0.2871326804161072,0.15597257018089294,0.25556930899620056
5x5,12,0.03339984267950058,0.5985535979270935,0.032485101372003555,0.5154125094413757,0.13516774773597717,0.276703417301178
