Topology,Samples,ScoreTotal MAE,ScoreTotal MAE_r,ScoreTotal Sp,ScoreTotal Pearson
3x4,100,0.010757609270513058,0.41335538029670715,0.8209060906090608,0.8211842775344849
3x5,60,0.014633319340646267,0.4401768147945404,0.7874965268130037,0.8032354116439819
4x4,60,0.012622272595763206,0.3580877184867859,0.7933870519588776,0.8500189185142517
3x6,60,0.012980937957763672,0.3741558790206909,0.7966657404834677,0.8365880846977234
4x5,60,0.013729004189372063,0.3439987301826477,0.7641567101972772,0.779434084892273
4x6,24,0.01129517238587141,0.25065863132476807,0.8547826086956521,0.7963767051696777
5x5,12,0.010699686594307423,0.29562893509864807,0.6923076923076924,0.8003520369529724
